"Date","AL","AK","AZ","AR","AS","CA","CO","CT","DE","DC","FL","GA","GU","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","CM","OH","OK","OR","PA","PR","RI","SC","SD","TN","TX","UT","VT","VA","VI","WA","WV","WI","WY"
"16563","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16564","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16565","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16566","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16567","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16568","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16569","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16570","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16571","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16572","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16573","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16574","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16575","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16576","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16577","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16578","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16579","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16580","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16581","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16582","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16583","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16584","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16585","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16586","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16587","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16588","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16589","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16590","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16591","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16592","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16593","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16594","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16595","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16596","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16597","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16598","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16599","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16600","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16601","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16602","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16603","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16604","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16605","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16606","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16607","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16608","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16609","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16610","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16611","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16612","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16613","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16614","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16615","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16616","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16617","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16618","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16619","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16620","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16621","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16622","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","-1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16623","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16624","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16625","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16626","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16627","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16628","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16629","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16630","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16631","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16632","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16633","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16634","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16635","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16636","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16637","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16638","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16639","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16640","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16641","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16642","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16643","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16644","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16645","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16646","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16647","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16648","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16649","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16650","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
"16651","2","2","2","2","2","2","1","1","0","2","2","2","2","-1","2","3","2","1","2","2","2","0","0","1","-1","-1","2","2","0","2","1","-1","-1","0","1","2","2","2","3","2","2","-1","0","-1","2","2","2","3","2","2","0","2","1","2","-1","2"
